,Subject,"THEME (race, identity, activism, government, entertainment, education)",Subject Name,Geographic Coverage,Photographer,Date,Year,Caption,longitude,latitude,latlng,imageurl
"Aerial view of drought-depleted Lake Shasta, Calif., 1976",Droughts--California--Shasta County,Other,,Shasta Lake (Calif.),"Fontanini, Steve",1976-01-01,1976,GOING DOWN--Low shoreline shows how Lake Shasta water levels have dropped since drought hit. View is of the marina near the dam.,-122.3965788,40.72884421,"40.72884421,-122.3965788",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00327887a.jpg
"Aerial view of traffic on Santa Monica Freeway the day HOV lane started, Calif., 1976",Traffic congestion--California--Los Angeles,Other,,Interstate 10,"Rogers, Art",1976-01-01,1976,"EXCLUSIVE--With other traffic backed up for miles, two cars have diamond lane all to themselves in this aerial view of Santa Monica Freeway during morning's rush hour. Diamond lane is restricted to buses and cars carrying three or more. San Diego Freeway converges at right.",-118.431834,34.03120733,"34.03120733,-118.431834",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00329079a.jpg
"Aerial view of beach goers at Pirate's Cove south of Zuma Beach, Calif., 1976",Sunbathing,Other,,Los Angeles County (Calif.),"Rogers, Art",1976-01-01,1976,"BATHING IN THE BUFF--Scores of swimmers and sunbathers, many of them in the nude, crowd Pirate's Cove south of Zuma Beach on a sunny Sunday afternoon, as viewed from the air over sea.",-118.809666,34.00111815,"34.00111815,-118.809666",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328941a.jpg
"Mike Grady, Logicon Corp. engineer, demonstrating computer capable of voice recognition in Los Angeles, Calif., 1976",Automatic speech recognition,Other,Logicon Corp.,Los Angeles (Calif.),"Varie, Bill",1976-01-01,1976,"BACKTALK--Mike Grady, an engineer with Logicon Corp., adjusts the controls of a computer that understands human speech and responds with spoken words generated from 60 sounds.",-118.2542825,34.04948151,"34.04948151,-118.2542825",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328951a.jpg
"Beach goers on Redondo Beach, Calif., 1977",Sunbathing,Other,,Redondo Beach (Calif.),"Barr, John T.",1977-01-01,1977,SUNDAY ON THE SAND--A warm sea and clear skies attracted thousands of beachgoers to stretches of shore like this one in Redondo.,-118.3917618,33.83933825,"33.83933825,-118.3917618",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00329003a.jpg
"Agronomist, Scott Garrett at his pick-it-yourself garden in Brentwood, Calif., 1977",Pick-your-own farms--California--Los Angeles County,Other,,Los Angeles (Calif.),"Bessel, Larry",1977-01-01,1977,"POPEYE'S DELIGHT--Scott Garrett, the Brentwood agronomist, holds a bunch of freshly picked spinach from his pick-it-yourself farm above Sunset in midst of condominiums.",-118.4716433,34.06692077,"34.06692077,-118.4716433",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00329017a.jpg
"Man hosing down sidewalk on Towne Avenue in violation of water conservation ordinance in Los Angeles, Calif., 1977",Water use--California--Los Angeles County,Other,,Los Angeles (Calif.),"Oliver, R. L.",1977-01-01,1977,"Maybe he hasn挞夆聣恽t gotten the word挞夆洛_a man hosing down sidewalk in 600 block, Towne Ave.",-118.244711,34.04014377,"34.04014377,-118.244711",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326936a.jpg
"Man wearing a Jimmy Carter mask competing in ""inaugural peanut push"" contest in Long Beach, Calif., 1977",Contests,Other,"Carter, Jimmy, 1924- Inauguration, 1977",Long Beach (Calif.),"Whitney, Fitzgerald",1977-01-01,1977,"IT DIDN'T HELP--Contestant with a Jimmy Carter mask takes on fellow students at Long Beach City college's ""inaugural peanut push."" He lost. Winner received a handful of peanuts.",-118.1356966,33.83445467,"33.83445467,-118.1356966",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328977a.jpg
"Daphne DiCino in her business executives room at Hyatt Regency in Los Angeles, Calif., 1977",Business travel--United States,Other,,Los Angeles (Calif.),,1977-01-01,1977,"HOTELS, AIRLINES FIND NEW BONANZA Hotels and travel-related firms discover a large market in the growing number of traveling businesswomen, such as, at downtown Hyatt Regency, public relations consultant Daphne DiCino of Phoenix takes advantage of work time in her room in hotel's new program for business executives--the Regency Club. Some rooms have special maids and butlers such as Vince Gonzales, shown preparing cocktails and hors d'oeuvre service while Ms. Mule works.",-118.2583272,34.04782362,"34.04782362,-118.2583272",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00329010a.jpg
"Lone surfer in whitewash of waves on Manhattan Beach, Calif., 1977",Surfing--California--Los Angeles County,Other,,Manhattan Beach (Calif.),"Rogers, Art",1977-01-01,1977,GLIDING--Surfer off Manhattan Beach makes turn on an ocean that resembles a lava flow.,-118.419528,33.89330644,"33.89330644,-118.419528",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328981a.jpg
"Customers in B. Dalton-Pickwick bookstore in Hollywood, Calif., 1977",Booksellers and bookselling--United States,Other,B. Dalton Bookseller (Firm),"Hollywood (Los Angeles, Calif.)","Murphy, William S.",1977-01-01,1977,"BOOK PROFITS--Just like these customers looking for a good book to purchase at the B. Dalton-Pickwick book store in Hollywood, emerging entertainment conglomerates are searching for potential best sellers to help generate profits for their subsidiaries.",-118.3372311,34.10177074,"34.10177074,-118.3372311",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328976a.jpg
"Cityscape with snow covered mountains of downtown Los Angeles, Calif., 1977",Snow--California--Los Angeles County,Other,"Los Angeles City Hall (Los Angeles, Calif.)",Los Angeles (Calif.)--Climate,"Fontanini, Steve",1977-01-01,1977,AFTER STORM--Downtown Los Angeles stands out against background of snow-covered mountains.,-118.2653224,34.04486333,"34.04486333,-118.2653224",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328967a.jpg
"Alice Greenfield McGrath revisits scene of Zoot Suit Riots (Los Angeles, Calif.)","Zoot Suit Riots, Los Angeles, Calif., 1943",Other,"McGrath, Alice Greenfield, 1917-",Los Angeles (Calif.),,1978-01-01,1978,,-118.24535,34.0500571,"34.0500571,-118.24535",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_1_1_00012759a.jpg
"Mailman Jim Korkus walking up steepest street, Fargo Street, in Los Angeles, Calif., 1978",Hills--California--Los Angeles County,Other,,"Fargo Street (Los Angeles, Calif.)",,1978-01-01,1978,"THROUGH RAIN, HAIL. . . -- Mailman Jim Korkus walks steepest street in L.A. to make deliveries.",-118.2609152,34.0929486,"34.0929486,-118.2609152",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00330402a.jpg
"Distance view of Los Angeles skyline from Elysian Park, 1978",Environment,Other,,"Elysian Park (Los Angeles, Calif.)","Yaro, Boris",1978-01-01,1978,SUN BREAKS THROUGH--View from Elysian Park of downtown Los Angeles and departing clouds. Fair weather is forecast for today.,-118.245163,34.08138409,"34.08138409,-118.245163",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00329842a.jpg
"Dorothy Buffum Chandler (left), grandmother of Harry Brant Chandler, embraces Denise Hardr棠濠 during the wedding of Hardr棠濠 and Chandler, 1979.",Weddings--California--San Francisco,Other,"Chandler, Dorothy, 1901-1997",San Francisco (Calif.),"Armstrong, Larry",1979-01-01,1979,,-122.4018788,37.78798812,"37.78798812,-122.4018788",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/21198-zz00176qk7_496335_thumbnail.jpg
"Britain's Princess Margaret at dedication of Rolls-Royce service garage in Los Angeles, Calif., 1979",Princesses--Great Britain,Other,Rolls-Royce Ltd.,"West Los Angeles (Los Angeles, Calif.)","Yada, Michael",1979-01-01,1979,Princess Margaret with Rolls-Royce after dedicating auto firm's service garage in West Los Angeles,-118.4418869,34.03379467,"34.03379467,-118.4418869",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00340112a.jpg
"Crowded Santa Monica Pier, Calif., 1979",Piers--California--Los Angeles County,Other,,"Santa Monica Pier (Santa Monica, Calif.)","Meadows, Mike",1979-01-01,1979,"PIER PRESSURE--A summery weekend brought throngs of people to the shops, restaurants and beach along the Santa Monica Pier.",-118.4963036,34.01022229,"34.01022229,-118.4963036",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00340077a.jpg
"Lake scene in park with oil refinery in background in Harbor City, Calif., 1979",Lakes--California--Los Angeles County,Other,,Los Angeles County (Calif.),"Hively, Ken",1979-01-01,1979,NATURE AND TECHNOLOGY--Scene at a placid lake in Harbor City is in contrast to the looming presence of an oil refinery.,-118.2949072,33.78575953,"33.78575953,-118.2949072",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00340125a.jpg
"Cityscape with Vincent Thomas Bridge and San Gabriel Mountains, Calif., 1979",Landmarks,Other,,San Gabriel Mountains (Calif.),"Barnard, Tony",1979-01-01,1979,"FROM PEAKS TO SHORE--Clear sky afforded view, laced by Vincent Thomas Bridge, from San Pedro north to San Gabriel Mountains.",-118.2848597,33.74421863,"33.74421863,-118.2848597",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00340135a.jpg
"Automobiles driving around buckled pavement on Pacific Coast Highway near Las Tunas Beach, Calif., 1980",Buckling (Mechanics),Other,,California Highway 1 (Calif.),,1980-01-01,1980,,-118.5987143,34.0392148,"34.0392148,-118.5987143",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326161a.jpg
"Bar of the Bullocks Wilshire Tea Room in Los Angeles, Calif., 1980",Department stores--California--Los Angeles,Other,Bullock's Wilshire (Department store),Los Angeles (Calif.),"Davis, Larry",1980-01-01,1980,,-118.2880136,34.0616394,"34.0616394,-118.2880136",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326730a.jpg
"JoAnn Cowans mowing the grass on the sod roof of her home in Encino, Calif., 1980",Lawn mowing,Other,,"Encino (Los Angeles, Calif.)",,1980-01-01,1980,,-118.514853,34.158063,"34.158063,-118.514853",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326172a.jpg
"Sign outside Dr. Gene Scott's Faith Center church complex, Glendale, 1980",Signs (Notices),Other,"Scott, Gene (W. Eugene)",Glendale (Calif.),"Friedman, Gary",1980-01-01,1980,Text from negative sleeve: The sign which is outside Gene Scott's church.,-118.2533595,34.12570121,"34.12570121,-118.2533595",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/292807-1_sleeve1_frame21A.jpg
"Man walking past lot covered with litter and weeds in Los Angeles, Calif., 1980",City planning--California--Los Angeles County,Other,,Los Angeles (Calif.),"Rose, George",1980-01-01,1980,"Litter and weeds clog a lot at 4th and Los Angeles and, say officials, the look of the city is not improving owing to shortages of money, manpower, and citizen interest.",-118.2464772,34.04730358,"34.04730358,-118.2464772",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326799a.jpg
"Ansel Adams, full length portrait taken along cliffs of Big Sur, Calif., 1980",Photographers $z United States,Other,"Adams, Ansel, 1902-1984",Big Sur (Calif.),,1980-01-01,1980,"DEVELOPMENT FOE--Nature photographer Ansel Adams on hike along Big Sur coast, just south of his home in Carmel Highlands.",-121.7817307,36.25254487,"36.25254487,-121.7817307",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326164a.jpg
"Dolores Drive-In on Wilshire Blvd. in Los Angeles, Calif., 1980",Automobiles--United States--1970-1980,Other,"Dolores Drive-In (Los Angeles, Calif.)","Wilshire Boulevard (Los Angeles, Calif.)","Hartnett, Martha",1980-01-01,1980,,-118.3760065,34.06480994,"34.06480994,-118.3760065",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326185a.jpg
"Librarian Vivian Arterbery working at terminal of Rand Corp. library's barcode based computer system, 1980",Computers--1980-1990,Other,"Arterbery, Vivian J.",Santa Monica (Calif.),"McCarthy, Hilaria",1980-01-01,1980,,-118.4907353,34.00959863,"34.00959863,-118.4907353",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326726a.jpg
"Men working out at Muscle Beach in Venice, Calif., 1981",Bodybuilders--California--Santa Monica,Other,,"Venice (Los Angeles, Calif.)--Social life and customs","Kamin, Jayne",1981-01-01,1981,,-118.4726518,33.98550244,"33.98550244,-118.4726518",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326833a.jpg
"Archie Moore, portrait",African American boxers,Other,"Moore, Archie, 1916-","Mar Vista (Los Angeles, Calif.)",,1982-01-01,1982,,-118.4106445,33.99324172,"33.99324172,-118.4106445",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_1_1_00010863a.jpg
Archie Moore gives boxing demonstration to Los Angeles children,Mexican American children $z California $z Los Angeles,Other,"Moore, Archie, 1916-","Mar Vista (Los Angeles, Calif.)",,1982-01-01,1982,,-118.4106445,33.99324172,"33.99324172,-118.4106445",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_1_1_00012889a.jpg
"Dentist Dr. Scott Jacks examining one patient while two other patients play video games in waiting area, South Gate, Calif., 1982",Video games and children,Other,,South Gate (Calif.),"Friedman, Gary",1982-01-01,1982,"As Dr. Scott Jacks examines teeth of a child in his South Gate dental office, other youthful patients await their turn playing the video games on the premises. Although the devices here are free, an estimated $7 billion was dropped into many others last year.",-118.1938362,33.9425856,"33.9425856,-118.1938362",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00327638a.jpg
"Cityscape of Los Angeles, viewed from Mulholland Drive looking out on 101 Freeway towards downtown, 1984",Smog--California--Los Angeles County,Other,,"Hollywood Freeway (Los Angeles, Calif.)","Dryden, Ian",1984-01-01,1984,"While smog lies heavy over the downtown skyline as seen from Mulholland Drive, joggers on Sunset near Dodger Stadium are undeterred, and tree trimmer Alfred Ruiz of the parks department takes a water break at the Civic Center Mall.",-118.3382893,34.11343899,"34.11343899,-118.3382893",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326341a.jpg
"Birds-eye view of Pershing Square rededication in Los Angeles, Calif., 1984",Dedications--California--Los Angeles County,Other,"Pershing Square (Los Angeles, Calif.)--Design and construction","Los Angeles (Calif.)--Buildings, structures, etc.","Diamos, Marianna",1984-01-01,1984,"The scene as Pershing Square was reopened and rededicated, with the captive hot-air balloon hovering over the festivities.",-118.2529674,34.0484027,"34.0484027,-118.2529674",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326342a.jpg
"Cityscape of Dodger Stadium with skyline of downtown Los Angeles in background, 1984",Landmarks,Other,"Dodger Stadium (Los Angeles, Calif.)","Los Angeles (Calif.)--Buildings, structures, etc.","Barnard, Tony",1984-01-01,1984,One view of a complex and compelling Los Angeles: Dodger Stadium against a backdrop of the city's emerging downtown skyline.,-118.2376313,34.07518138,"34.07518138,-118.2376313",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326379a.jpg
"Aerial view of cargo shipping industry along Los Angeles-Long Beach Harbor, Calif., 1984",Cargo ships,Other,,Los Angeles Harbor (Calif.),"Corrales, Rick",1984-01-01,1984,Cargo containers resting on the Long Beach docks business on the Los Angeles-Long beach waterfront is booming,-118.1811333,33.73461877,"33.73461877,-118.1811333",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326405a.jpg
"Mount Wilson Observatory complex in Los Angeles, Calif., 1984",Observatories--California--Los Angeles County,Other,Mount Wilson and Palomar Observatories,Mount Wilson (Calif.),"Galvez, Jose",1984-01-01,1984,"A view from atop Mt. Wilson complex and from afar, below. Its telescopes are 65 to 80 years old.",-118.0571508,34.2258903,"34.2258903,-118.0571508",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326394a.jpg
"Department of Children's Services nurse examining baby at MacLaren Hall in El Monte, Calif., 1984",Child welfare--California--Los Angeles County,Other,"MacLaren Hall (El Monte, Calif.)",El Monte (Calif.),"Flynn, Scott",1984-01-01,1984,A nurse examines a baby who had been living in a car with his family,-118.0057114,34.07301299,"34.07301299,-118.0057114",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326453a.jpg
"Arthur Kassel demonstrates use of a taser (stun gun) at Beverly Hills Gun Club, Calif., 1985",Self-defense--California--Los Angeles County,Other,"Beverly Hills Gun Club (Los Angeles, Calif.)",Beverly Hills (Calif.),"Schneider, Iris",1985-01-01,1985,"Arthur Kassel of the Beverly Hills Gun Club demonstrates use of a Taser, a device some are buying instead of a handgun.",-118.4548876,34.03082723,"34.03082723,-118.4548876",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326477a.jpg
"Arson investigators in art and music reading room of Los Angeles Central Library, 1986",Arson investigation $z California $z Los Angeles County,Other,Los Angeles (Calif.). Fire Dept.,Los Angeles (Calif.),,1986-01-01,1986,,-118.2553768,34.05057046,"34.05057046,-118.2553768",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00329259a.jpg
"Buildings and traffic on Hollywood Blvd. near Bronson Street in Hollywood, Calif., 1986",Business districts--California--Los Angeles,Other,,"Hollywood Boulevard (Los Angeles, Calif.)","Barnard, Tony",1986-01-01,1986,,-118.3250874,34.10164637,"34.10164637,-118.3250874",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00329267a.jpg
"Madrona Marsh with oil wells and condominiums in Torrance, Calif., 1986",City planning--California--Torrance,Other,,Madrona Marsh (Calif.),"Chase, Harry",1986-01-01,1986,,-118.3453059,33.82637119,"33.82637119,-118.3453059",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328799a.jpg
"Aerial view of construction on Century Freeway overpass on Harbor Freeway, Calif., 1986",Express highways--California--Los Angeles County--Design and construction,Other,,Harbor Freeway (Calif.),"Barnard, Tony",1986-01-01,1986,,-118.2805252,33.93088048,"33.93088048,-118.2805252",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00329216a.jpg
"Museum of Tolerance groundbreaking, Los Angeles, Calif., 1986",Ground breaking ceremonies--California--Los Angeles,Other,Museum of Tolerance (Simon Wiesenthal Center)--Design and construction,Los Angeles (Calif.),"Gadbery, Brian",1986-01-01,1986,,-118.4026489,34.053995,"34.053995,-118.4026489",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00329295a.jpg
"Aerial view of downtown Los Angeles, Calif., 1986",Skyscrapers--California--Los Angeles--1980-1990,Other,"Los Angeles Times Building (Los Angeles, Calif.)","Los Angeles (Calif.)--Buildings, structures, etc.","Lubas, Ken",1986-01-01,1986,,-118.2393479,34.05345944,"34.05345944,-118.2393479",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328806a.jpg
"Brady Hall on campus of Mount St. Mary's College in Los Angeles, Calif., 1986",Landmarks,Other,"Mount St. Mary's College (Los Angeles, Calif.)--Buildings","Los Angeles (Calif.)--Buildings, structures, etc.","Jaskol, Ellen",1986-01-01,1986,"Winner--Brady Hall, designed by Mark Daniels for Mount St. Mary's College, 12001 Chalon Road, will receive a Landmark Award Monday from the Los Angeles West Chamber of Commerce at the chamber's annual Beautification Awards Luncheon at the Hotel Bel Air.",-118.4823822,34.08523945,"34.08523945,-118.4823822",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328810a.jpg
"Aerial view of fire at the Los Angeles Central Library, Calif., 1986",Public libraries--California--Los Angeles County,Other,"Los Angeles Public Library--Fires, 1986","Los Angeles (Calif.)--Buildings, structures, etc.","Bessel, Larry",1986-01-01,1986,"View from above of the fire that ravaged the landmark Central Library Tuesday at right, flames leaping from windows over the entrance.",-118.2541966,34.0518594,"34.0518594,-118.2541966",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328845a.jpg
"Bullock's department store in downtown Los Angeles, Calif., 1986",Department stores--California--Los Angeles,Other,Bullock's (Firm),"Los Angeles (Calif.)--Buildings, structures, etc.","Roth, Marissa",1986-01-01,1986,"The new downtown Bullock's has 125,000 square feet of space. Skidmore, Ownings & Merrill is the exterior architect. Bullock's store planning department was responsible for interior design.",-118.2533705,34.04513003,"34.04513003,-118.2533705",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326951a.jpg
"Burned out houses at Aeromexico Flight 498 crash site in Cerritos, Calif., 1986","Aeromexico Flight 498 Crash, 1986",Other,,Cerritos (Calif.),"Kennedy, Joe",1986-01-01,1986,Rubble at the center of the Cerritos crash site...,-118.0462933,33.8686339,"33.8686339,-118.0462933",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00329255a.jpg
"Civic center of Pasadena, Calif., 1986",City halls--California--Pasadena,Other,,"Pasadena (Calif.)--Buildings, structures, etc.","Becker, David",1986-01-01,1986,Renovation of Pasadena's civic center--the ornate City Hall is in the upper right--has left a mix of architectural styles.,-118.1425095,34.1439456,"34.1439456,-118.1425095",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328878a.jpg
"Joe Coulombe, founder and owner of the Trader Joe's chain in California, 1986",Businessmen--California--Los Angeles County,Other,"Coulombe, Joe, 1930-",Los Angeles (Calif.),"Lubas, Ken",1986-01-01,1986,"Joe Coulombe, founder and owner of the Trader Joe's chain.",-118.16589,34.135321,"34.135321,-118.16589",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328817a.jpg
"Joaquin Coronel, Luis Flores and Juan Villa sorting belongs in burned out apartment in Los Angeles, Calif., 1986",Apartments--Fires and fire prevention,Other,,Los Angeles (Calif.),"Meyer, Rick",1986-01-01,1986,"From left, Joaquin Coronel, Luis Flores and Juan Villa sort personal papers after apartment fire.",-118.2716581,34.0541516,"34.0541516,-118.2716581",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328870a.jpg
"Deputy Fire Chief Don Anthony amongst stacks destroyed by fire at Los Angeles Central Library, 1986",Fire fighters--California--Los Angeles County,Other,"Los Angeles Public Library--Fires, 1986",Los Angeles (Calif.),"Bessel, Larry",1986-01-01,1986,"Deputy Chief Don Anthony beside destroyed stacks ..... the mezzanine area of the library, where fire was hottest.",-118.2550496,34.050326,"34.050326,-118.2550496",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328848a.jpg
"Dean Walters and car under collapsed carport after Chalfant earthquake, Calif., 1986","Chalfant Valley Earthquake, Calif., 1986 (July 21)",Other,,Chalfant Valley (Calif.),"Bessel, Larry",1986-01-01,1986,"Dean Walters posing in his car, which became pinned under collapsed carport on Chadago Street in the hard-hit Chalfant Valley.",-118.3651543,37.53377306,"37.53377306,-118.3651543",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00329218a.jpg
"Memorial service for Challenger astronaut Ronald McNair at Trinity Baptist Church in South Los Angeles, Calif., 1986",Memorial rites & ceremonies--California--Los Angeles,Other,Challenger (Spacecraft)--Accidents,Los Angeles (Calif.),"Davis, Larry",1986-01-01,1986,"Black Astronaut's Eulogy: 'He Reached for the Stars' Portrait of Challenger astronaut Ronald McNair, above, was center of a memorial service at the Trinity Baptist Church in South Los Angeles on Wednesday as several hundred people gathered to pay their respects. Choir members, lower right, examine a model of the space shuttle.",-118.3163112,34.02519102,"34.02519102,-118.3163112",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328755a.jpg
"Lobby of the Biltmore Hotel after renovation, Los Angeles, Calif., 1986",Historic buildings--California--Los Angeles County,Other,"Biltmore Hotel (Los Angeles, Calif.)",Los Angeles (Calif.),"Meyer, Rick",1986-01-01,1986,"Bellman stands in new lobby of the renovated Biltmore, while hotel guests enjoy the Rendezvous Court, which formerly was the lobby. The historic downtown Los Angeles hotel has just undergone a $40-million restoration, which will be celebrated today at a black-tie or Elizabethan-costume party for 1,000 business leaders, elected officials and celebrities.",-118.2534456,34.04915705,"34.04915705,-118.2534456",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328786a.jpg
"Alida Amabile at entrance to Plaza de la Raza in Los Angeles, Calif., 1986",Community centers--California--Los Angeles,Other,"Amabile, Alida",Los Angeles (Calif.),"Kelsey, Thomas",1986-01-01,1986,"Alida Amabile, executive director of the Plaza de la Raza, says of the center: ""It's been a succession of little steps, building blocks.""",-118.2027063,34.06704519,"34.06704519,-118.2027063",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00329200a.jpg
"Bulldozer clearing rubble of demolished restrooms at Gladys Park on Skid Row in Los Angeles, Calif., 1986",Crime prevention--California--Los Angeles County,Other,,"Gladys Park (Los Angeles, Calif.)","Lubas, Ken",1986-01-01,1986,A bulldozer operator clearing away the rubble after the restrooms at Gladys Park were torn down..,-118.2420516,34.04016933,"34.04016933,-118.2420516",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328764a.jpg
"Mexicana airliner flying over ASR-7 radar facility in Los Angeles, Calif., 1986",Airplanes--Takeoff,Other,Los Angeles International Airport,Los Angeles (Calif.),"Meyer, Rick",1986-01-01,1986,... a jetliner taking off behind the equipment of the ASR-7 radar facility south of Los Angeles Airport.,-118.4091425,33.94343115,"33.94343115,-118.4091425",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00329799a.jpg
"Aerial view of Westwood Village at Wilshire Blvd. in Los Angeles, Calif., 1986",Office buildings--California--Los Angeles,Other,,"Westwood (Los Angeles, Calif.)--Buildings, structures, etc.","Kennedy, Joe",1986-01-01,1986,,-118.448925,34.06156582,"34.06156582,-118.448925",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00329237a.jpg
"Library books in cold storage, Los Angeles, Calif., 1987",Education,Other,"Los Angeles Public Library--Fires, 1986",Los Angeles (Calif.),"Keyes, Con",1987-01-01,1987,,-118.2553446,34.05051712,"34.05051712,-118.2553446",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00329499a.jpg
"Aerial view of coastline and inland area around Malibu, Calif., 1987",Environment,Other,,Pacific Coast Highway,"Cohen, Cassy",1987-01-01,1987,,-118.7003231,34.03647973,"34.03647973,-118.7003231",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326948a.jpg
"Main waiting room of Los Angeles Union Station, 1987",Historic buildings--California--Los Angeles County,Other,"Union Passenger Terminal (Los Angeles, Calif.)",Los Angeles (Calif.),"Schneider, Iris",1987-01-01,1987,,-118.2364082,34.05636165,"34.05636165,-118.2364082",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00329486a.jpg
"""Warning Wading & Swimming Unsafe"" sign posted at Malibu Lagoon, Calif., 1978",Lagoons--California--Los Angeles County,Other,,Malibu Lagoon (Calif.),"Jaskol, Ellen",1987-01-01,1987,,-118.6825347,34.0317497,"34.0317497,-118.6825347",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00329801a.jpg
"Maria Girelda selecting cactus at Sal's Market on Brooklyn Ave. in Boyle Heights, Calif., 1987",Produce stands $z California $d Los Angeles,Other,,Boyle Heights (Calif.),"Lubas, Ken",1987-01-01,1987,,-118.192884,34.04001152,"34.04001152,-118.192884",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00329532a.jpg
